1,-0.4321534,4.280833,8.785523,0.020350724,0.1711855,0.10893631,99,1
1,2.5929205,2.529474,9.277532,0.13407516,0.1304841,0.0011968613,32,0
5,2.731784,2.420538,9.301474,0.35075045,0.08499408,0.11252785,99,0
2,2.385822,2.4253263,9.454702,0.062249184,0.07422018,0.046687126,121,0
2,2.906561,2.3930047,9.300277,0.52073884,0.03232169,0.15442562,99,0
2,2.9137435,2.5558102,9.113529,0.007182598,0.16280556,0.18674755,108,0
2,3.1376014,2.528277,9.1350765,0.22385788,0.027533293,0.021547318,101,0
2,2.7341783,2.4636335,9.284714,0.1508348,0.08379698,0.1280899,32,0
2,1.7465701,2.1200657,9.810242,0.10534489,0.39504313,0.55306053,109,0
2,1.8219875,2.2720973,9.764751,0.0754174,0.15203166,0.045490265,111,0
1,2.8622682,2.8993783,9.112331,0.38187528,0.31723166,0.23582935,100,0
1,3.040636,2.979584,8.7771435,0.17836785,0.08020568,0.3351879,101,0
1,3.040636,2.979584,8.7771435,0.17836785,0.08020568,0.3351879,108,0
2,2.5187001,2.8670566,9.272743,0.52193594,0.11252737,0.49559975,115,0
2,1.377863,1.8219875,9.821015,0.43813896,0.0,0.123301506,46,0
2,1.2090719,2.0961237,9.838972,0.16879117,0.2741362,0.017956734,32,0
1,1.2030864,2.328361,9.749189,0.1699884,0.07541728,0.021548271,66,0
2,0.61052144,3.2968156,9.329007,0.52911854,0.6943183,0.035912514,101,0
2,1.9057846,3.064578,9.779117,1.2952632,0.23223758,0.45010948,115,0
2,1.9285295,2.9999347,9.263166,0.022744894,0.06464338,0.5159502,105,0
2,2.3068132,3.1399956,9.175778,0.46686924,0.11013341,0.3591299,100,0
2,2.6144683,3.277662,8.9998045,0.3076551,0.13766646,0.17597389,101,0
1,2.3654714,3.3063924,8.819042,0.24899697,0.028730392,0.18076229,115,0
1,2.5929205,2.529474,9.277532,0.13407516,0.1304841,0.0011968613,32,0
5,2.731784,2.420538,9.301474,0.35075045,0.08499408,0.11252785,99,0
2,2.385822,2.4253263,9.454702,0.062249184,0.07422018,0.046687126,121,0
2,2.906561,2.3930047,9.300277,0.52073884,0.03232169,0.15442562,99,0
2,2.9137435,2.5558102,9.113529,0.007182598,0.16280556,0.18674755,108,0
2,3.1376014,2.528277,9.1350765,0.22385788,0.027533293,0.021547318,101,0
2,2.7341783,2.4636335,9.284714,0.1508348,0.08379698,0.1280899,32,0
2,1.7465701,2.1200657,9.810242,0.10534489,0.39504313,0.55306053,109,0
2,1.8219875,2.2720973,9.764751,0.0754174,0.15203166,0.045490265,111,0
1,2.8622682,2.8993783,9.112331,0.38187528,0.31723166,0.23582935,100,0
1,3.040636,2.979584,8.7771435,0.17836785,0.08020568,0.3351879,101,0
1,3.040636,2.979584,8.7771435,0.17836785,0.08020568,0.3351879,108,0
2,2.5187001,2.8670566,9.272743,0.52193594,0.11252737,0.49559975,115,0
2,1.377863,1.8219875,9.821015,0.43813896,0.0,0.123301506,46,0
2,1.2090719,2.0961237,9.838972,0.16879117,0.2741362,0.017956734,32,0
1,1.2030864,2.328361,9.749189,0.1699884,0.07541728,0.021548271,66,0
2,0.61052144,3.2968156,9.329007,0.52911854,0.6943183,0.035912514,101,0
2,1.9057846,3.064578,9.779117,1.2952632,0.23223758,0.45010948,115,0
2,1.9285295,2.9999347,9.263166,0.022744894,0.06464338,0.5159502,105,0
2,2.3068132,3.1399956,9.175778,0.46686924,0.11013341,0.3591299,100,0
2,2.6144683,3.277662,8.9998045,0.3076551,0.13766646,0.17597389,101,0
1,2.3654714,3.3063924,8.819042,0.24899697,0.028730392,0.18076229,115,0
